物件名,路線名,駅名,駅までの距離（徒歩/分）,間取り,階,家賃,住所
町屋一丁目戸建,京成本線,町屋駅,3,3LDK,1,15,荒川区町屋１
スカイフラッツ向陽草,有楽町線,小竹向原駅,4,3K,1,9.8,板橋区向原１
ヘレンハウゼ,ＪＲ山手線,新大久保駅,5,2DK,3,10.9,新宿区百人町２
シノセビル,ＪＲ山手線,西日暮里駅,5,2K,4,7,北区田端新町１
ハイツアゼリア,有楽町線,平和台駅,2,2DK,3,11.2,練馬区早宮２
スカイフラッツ・ボアヴェール,有楽町線,小竹向原駅,5,3DK,1,12.7,板橋区向原１
竹内ビル,東西線,門前仲町駅,4,2K,4,6.8,江東区永代２
11階建 築43年,銀座線,田原町駅,3,3LDK,11,19,台東区西浅草１
8階建 築48年,千代田線,町屋駅,5,2LDK,5,9,荒川区荒川４
ヴィラロイヤル,千代田線,町屋駅,5,3DK,4,11.5,荒川区荒川４
大野荘,有楽町線,千川駅,5,2K,2,6.5,板橋区向原１
4階建 築50年,ＪＲ山手線,大塚駅,5,2LDK,3,14,豊島区東池袋２
ウエストヒル町屋,千代田線,町屋駅,1,2LDK,5,15,荒川区荒川６
4階建 築37年,有楽町線,地下鉄成増駅,4,3LDK,2,13.8,板橋区成増１
ヒルサイドテラス,千代田線,根津駅,5,2DK,1,12,台東区池之端３
中山マンション,ＪＲ山手線,日暮里駅,5,2DK,3,11,荒川区西日暮里２
桂荘,千代田線,町屋駅,4,2K,2,5.5,荒川区町屋２
五味マンション,丸ノ内線,新中野駅,5,2K,2,8.5,中野区本町４
グレースレジデンス,日比谷線,三ノ輪駅,4,3LDK,2,16.4,荒川区南千住５
5階建 築43年,ＪＲ山手線,西日暮里駅,4,2K,3,9,荒川区西日暮里２
第１麻生ビル,東急東横線,中目黒駅,5,2K,2,10,目黒区上目黒２
コーポ代々木上原,小田急線,代々木上原駅,1,2K,5,10.2,渋谷区西原３
エステ－ジ築地,日比谷線,築地駅,5,2LDK,5,17.5,中央区築地７
9階建 築54年,有楽町線,江戸川橋駅,2,3K,5,11.5,文京区関口１
パレーシャル35,千代田線,根津駅,3,2DK,2,11.7,文京区根津２
7階建 築55年,銀座線,外苑前駅,5,2DK,5,20,港区南青山４
5階建 築36年,丸ノ内線,東高円寺駅,5,2DK,2,9.5,杉並区梅里１
西池袋ローヤルコーポ,副都心線,要町駅,1,2LDK,6,14,豊島区西池袋５
2階建 築54年,千代田線,根津駅,2,2K,1,7.5,文京区根津２
8階建 築53年,ＪＲ中央線,荻窪駅,5,2K,4,9.5,杉並区荻窪３
岩本町ビル,ＪＲ総武線快速,馬喰町駅,4,2DK,4,18,千代田区岩本町１
藤和護国寺コープ,有楽町線,東池袋駅,5,2DK,2,12,文京区大塚６
シャーメゾンステージ秋葉原,ＪＲ山手線,秋葉原駅,4,2K,12,15.2,千代田区神田佐久間河岸
エスト・メール東大井,ＪＲ京浜東北線,大井町駅,5,2DK,2,14.4,品川区東大井６
地下1地上8階建 築45年,有楽町線,東池袋駅,5,2DK,5,11,文京区大塚６
アソシエ―ル護国寺,有楽町線,護国寺駅,8,3LDK,2,18.9,文京区大塚６
中野区本町6丁目20-15戸建,丸ノ内線,新中野駅,3,3LDK,3,19,中野区本町６
13階建 築2年,日比谷線,入谷駅,3,2LDK,3,18.8,台東区下谷１
サンライズ駒込,ＪＲ山手線,駒込駅,3,2K,2,8,豊島区駒込３
市谷伊東ハイム,有楽町線,市ケ谷駅,2,3DK,4,15,新宿区市谷田町２
5階建 築56年,ＪＲ京浜東北線,大井町駅,5,2DK,3,12,品川区南品川６
グリーンハイツ本郷,都営大江戸線,春日駅,4,2K,3,10,文京区本郷１
4階建 築35年,丸ノ内線,本郷三丁目駅,5,2LDK,3,17,文京区本郷３
公視ビル,東西線,早稲田駅,5,2K,4,7.8,新宿区戸山１
ブリリアイスト駒込,ＪＲ山手線,駒込駅,5,2DK,3,16.5,北区西ケ原１
3階建 築27年,有楽町線,氷川台駅,5,2DK,3,9.8,練馬区氷川台４
7階建 築52年,ＪＲ中央線,荻窪駅,5,2K,4,9,杉並区上荻１
ナリキビル,ＪＲ山手線,田端駅,5,2DK,2,11,北区田端２
Totsu Central Residence,丸ノ内線,新大塚駅,1,2DK,4,16,豊島区南大塚２
ストーク中村,ＪＲ京浜東北線,大井町駅,5,2DK,4,12.5,品川区大井１
世継ビル,丸ノ内線,方南町駅,1,2K,5,8.8,杉並区堀ノ内１
ハイエスト荻窪,丸ノ内線,荻窪駅,3,2LDK,13,19,杉並区荻窪５
2階建 築38年,副都心線,地下鉄赤塚駅,5,2LDK,1-2,12.5,板橋区赤塚２
中野坂上ダイヤハイツ,丸ノ内線,中野坂上駅,1,2K,5,11.8,中野区本町２
3階建 築50年,東西線,落合駅,4,2DK,2,9,中野区東中野４
メゾンハギ,ＪＲ山手線,池袋駅,10,2DK,1,15.1,豊島区西池袋５
アーバンパレス千駄木,千代田線,千駄木駅,1,2K,4,8.7,文京区千駄木３
メゾンド巣鴨,ＪＲ山手線,巣鴨駅,5,3DK,2,16,豊島区巣鴨１
Ｌｉｌｙｃｏｌｏｒ,副都心線,地下鉄赤塚駅,5,2DK,1,8,板橋区赤塚２
メゾンジュン,ＪＲ常磐線,南千住駅,5,2DK,2,8.5,荒川区南千住５
ひいらぎビル,東西線,門前仲町駅,1,2K,2,7.3,江東区門前仲町２
小玉荘,千代田線,根津駅,4,2K,2,6.6,台東区池之端２
12階建 築49年,ＪＲ山手線,鶯谷駅,6,2LDK,11,13,台東区根岸３
TOPKAPI(トプカピ),小田急線,代々木上原駅,5,2K,1,12,渋谷区西原３
ライオンズマンション日暮里前,ＪＲ山手線,日暮里駅,2,3DK,4,16.8,荒川区東日暮里５
グリーンハイム,東武東上線,成増駅,7,2K,2,7.6,練馬区旭町３
ファミリーテラス桜台C棟,有楽町線,氷川台駅,4,2DK,1,8.5,練馬区桜台３
成増第六シャトレマンション,有楽町線,地下鉄成増駅,5,2LDK,1,11.8,練馬区旭町３
7階建 築37年,銀座線,浅草駅,4,2DK,3,11,台東区花川戸１
木村アパート,千代田線,根津駅,3,2DK,2,7,文京区根津２
ヴィラ若宮,都営大江戸線,牛込神楽坂駅,4,2LDK,3,15.8,新宿区若宮町
富山ハイム,東西線,早稲田駅,5,2DK,2,12.5,新宿区弁天町
2階建 築49年,ＪＲ総武線,中野駅,5,2K,2,9,中野区中野２
マ・メゾン,ＪＲ中央線,荻窪駅,5,3DK,2,17.5,杉並区天沼３
志げる荘,千代田線,町屋駅,5,2K,2,7.5,荒川区町屋３
12階建 築38年,東西線,東陽町駅,5,3LDK,9,18.8,江東区南砂２
アンソレイエ小竹,有楽町線,小竹向原駅,5,2LDK,4,13.5,練馬区小竹町２
朝日九段マンション,東西線,九段下駅,2,2DK,2,12.3,千代田区九段北１
14階建 築55年,ＪＲ山手線,高田馬場駅,5,2LDK,4,16.3,新宿区下落合２
上山ビル,ＪＲ山手線,鶯谷駅,2,2K,4,8.3,台東区根岸３
5階建 築34年,丸ノ内線,方南町駅,3,2LDK,2,14,杉並区方南２
5階建 築45年,東西線,西葛西駅,4,2K,3,9,江戸川区西葛西３
パークサイド桜台,有楽町線,氷川台駅,5,3LDK,3,14,練馬区桜台３
バルトハイム,有楽町線,千川駅,4,2DK,2,9,豊島区要町３
真砂マンション,都営大江戸線,本郷三丁目駅,4,2LDK,5,12.3,文京区本郷４
バウムプラッツ,東西線,木場駅,5,2K,3,11.5,江東区木場６
14階建 築17年,有楽町線,要町駅,4,2K,7,11.8,豊島区西池袋５
コーポ水無月,東西線,落合駅,4,2K,1,8.4,新宿区上落合３
ツイン・コート,東西線,西葛西駅,3,2LDK,7,10.4,江戸川区西葛西３
エースフラット,東西線,神楽坂駅,3,2K,3,7.8,新宿区築地町
ファミ－ルＡ,副都心線,小竹向原駅,4,2K,2,8,板橋区小茂根１
市ヶ谷第２ローヤルコーポ,有楽町線,市ケ谷駅,4,2DK,3,10.9,新宿区市谷砂土原町１
AXAS駒込Luxease,ＪＲ山手線,駒込駅,4,2K,9,11.5,豊島区駒込１
永代クリニックビル,東西線,門前仲町駅,5,2K,3,9.5,江東区永代２
KDソシア,丸ノ内線,新高円寺駅,5,2DK,1,10.6,杉並区梅里１
PLUS OnE(プラスワン),ＪＲ山手線,五反田駅,5,2LDK,11,19.5,品川区上大崎３
近江マンション,ＪＲ山手線,池袋駅,5,2K,4,8,豊島区西池袋３
2階建 築35年,有楽町線,地下鉄赤塚駅,5,2DK,2,7.8,板橋区赤塚新町３
3階建 築39年,ＪＲ山手線,新宿駅,10,2DK,1,13.5,新宿区西新宿８
妙義坂マンション,ＪＲ山手線,駒込駅,3,2DK,5,11,豊島区駒込３
中葛西貸家2F,東西線,葛西駅,4,3K,2,9,江戸川区中葛西３
プラザサンタナカ１号棟,有楽町線,地下鉄成増駅,3,2DK,4,9.5,板橋区成増１
ＳＮビル,ＪＲ中央線,荻窪駅,3,2DK,3,12,杉並区荻窪４
コスモス神楽坂（ＲＣ）,東西線,神楽坂駅,3,2SK,1,9.2,新宿区赤城下町
コーポタナカ,有楽町線,地下鉄赤塚駅,5,2K,2,3.7,練馬区北町８
シャルマン・ヴィラージュ,東西線,葛西駅,4,3DK,7,13.1,江戸川区中葛西８
4階建 築57年,ＪＲ中央線,荻窪駅,5,2K,3,8.6,杉並区天沼３
